loop = 0
# Time Axis1 Axis2 Axis3 Axis4 Axis5 Axis6 Axis7 Axis8 Axis9 Axis10 Axis11 Axis12
0.96 59.671244 337.341251 -437.189526 0.0 0.0 0.0 4.8536 875.732741 -501.827216 96.9384 -4.69834 -136.737854
0.98 58.576801 347.225993 -429.53152 0.0 0.0 0.0 4.20667 885.619068 -494.53296 96.900726 -4.741833 -135.140396
1.0 57.36368 356.971211 -421.634227 0.0 0.0 0.0 3.524871 895.38207 -486.929948 96.853638 -4.777816 -133.551743
1.02 56.035509 366.562244 -413.505262 0.0 0.0 0.0 2.807683 905.006592 -479.025367 96.797554 -4.806222 -131.973801
1.04 54.596515 375.984867 -405.153131 0.0 0.0 0.0 2.054971 914.4778 -470.827692 96.73291 -4.827025 -130.408417
1.06 53.05152 385.225488 -396.587088 0.0 0.0 0.0 1.26695 923.781404 -462.346386 96.660187 -4.840228 -128.857391
1.08 51.405858 394.271189 -387.81713 0.0 0.0 0.0 0.444165 932.903695 -453.591981 96.579865 -4.845865 -127.322533
1.1 49.66547 403.109644 -378.85408 0.0 0.0 0.0 -0.412386 941.831497 -444.576034 96.492455 -4.843997 -125.805603
1.12 47.836734 411.729453 -369.709295 0.0 0.0 0.0 -1.301388 950.552505 -435.310863 96.398491 -4.834707 -124.308311
1.14 45.926596 420.119929 -360.394855 0.0 0.0 0.0 -2.220955 959.055085 -425.80978 96.2985 -4.81811 -122.832321
1.16 43.942407 428.271241 -350.923449 0.0 0.0 0.0 -3.168868 967.328433 -416.086882 96.193016 -4.794339 -121.379265
1.18 41.892024 436.174433 -341.308337 0.0 0.0 0.0 -4.142302 975.362612 -406.157012 96.082565 -4.763548 -119.950722
1.2 39.783638 443.821564 -331.563177 0.0 0.0 0.0 -5.138103 983.1487 -396.035484 95.96769 -4.725902 -118.548225
1.22 37.625915 451.20542 -321.702375 0.0 0.0 0.0 -6.152457 990.678514 -385.738587 95.8489 -4.681589 -117.173264
1.24 35.427795 458.319952 -311.74052 0.0 0.0 0.0 -7.181154 997.945061 -375.282791 95.726692 -4.6308 -115.827263
1.26 33.198583 465.160011 -301.692687 0.0 0.0 0.0 -8.219374 1004.942285 -364.685155 95.601547 -4.573738 -114.511604
1.28 30.947835 471.721464 -291.574263 0.0 0.0 0.0 -9.261832 1011.665185 -353.96306 95.473915 -4.51061 -113.227615
1.3 28.685391 478.001191 -281.400904 0.0 0.0 0.0 -10.302656 1018.109829 -343.134139 95.344231 -4.44162 -111.97657
1.32 26.421255 483.997106 -271.188453 0.0 0.0 0.0 -11.335506 1024.273374 -332.21617 95.212868 -4.366972 -110.759697
1.34 24.16567 489.708022 -260.953122 0.0 0.0 0.0 -12.353461 1030.153933 -321.227259 95.0802 -4.286868 -109.578178
1.36 21.929035 495.133853 -250.711077 0.0 0.0 0.0 -13.348967 1035.750786 -310.185396 94.946533 -4.2015 -108.433136
1.38 19.721773 500.275467 -240.478621 0.0 0.0 0.0 -14.31413 1041.064236 -299.108525 94.812126 -4.111048 -107.325653
1.4 17.554493 505.134667 -230.272158 0.0 0.0 0.0 -15.240301 1046.095577 -288.01466 94.677208 -4.015685 -106.256767
1.42 15.437738 509.714268 -220.107927 0.0 0.0 0.0 -16.118542 1050.847196 -276.921279 94.541946 -3.915549 -105.227455
1.44 13.382211 514.017886 -210.002352 0.0 0.0 0.0 -16.939053 1055.322322 -265.846151 94.406448 -3.810791 -104.23867
1.46 11.398497 518.050053 -199.971686 0.0 0.0 0.0 -17.691767 1059.525171 -254.806481 94.270775 -3.701519 -103.291328
1.48 9.497149 521.816163 -190.031983 0.0 0.0 0.0 -18.366025 1063.460878 -243.819039 94.134918 -3.587822 -102.386307
1.5 7.688697 525.322342 -180.199277 0.0 0.0 0.0 -18.950547 1067.135345 -232.900528 93.998817 -3.46978 -101.524429
