loop = 0
# Time Axis1 Axis2 Axis3 Axis4 Axis5 Axis6 Axis7 Axis8 Axis9 Axis10 Axis11 Axis12
0.98 0.526626 0.65783 0.304758 0.0 0.0 0.0 0.501912 0.902554 0.275212 96.900726 -4.741833 -135.140396
1.0 0.526074 0.66226 0.308348 0.0 0.0 0.0 0.501602 0.906992 0.278668 96.853638 -4.777816 -133.551743
1.02 0.525471 0.666619 0.312043 0.0 0.0 0.0 0.501276 0.911367 0.282261 96.797554 -4.806222 -131.973801
1.04 0.524817 0.670902 0.315839 0.0 0.0 0.0 0.500934 0.915672 0.285987 96.73291 -4.827025 -130.408417
1.06 0.524114 0.675102 0.319733 0.0 0.0 0.0 0.500576 0.919901 0.289843 96.660187 -4.840228 -128.857391
1.08 0.523366 0.679214 0.323719 0.0 0.0 0.0 0.500202 0.924047 0.293822 96.579865 -4.845865 -127.322533
1.1 0.522575 0.683232 0.327794 0.0 0.0 0.0 0.499813 0.928105 0.29792 96.492455 -4.843997 -125.805603
1.12 0.521744 0.68715 0.33195 0.0 0.0 0.0 0.499408 0.932069 0.302131 96.398491 -4.834707 -124.308311
1.14 0.520876 0.690964 0.336184 0.0 0.0 0.0 0.49899 0.935934 0.30645 96.2985 -4.81811 -122.832321
1.16 0.519974 0.694669 0.340489 0.0 0.0 0.0 0.49856 0.939695 0.31087 96.193016 -4.794339 -121.379265
1.18 0.519042 0.698261 0.34486 0.0 0.0 0.0 0.498117 0.943347 0.315383 96.082565 -4.763548 -119.950722
1.2 0.518083 0.701737 0.349289 0.0 0.0 0.0 0.497664 0.946886 0.319984 95.96769 -4.725902 -118.548225
1.22 0.517103 0.705093 0.353772 0.0 0.0 0.0 0.497203 0.950308 0.324664 95.8489 -4.681589 -117.173264
1.24 0.516104 0.708327 0.3583 0.0 0.0 0.0 0.496736 0.953611 0.329417 95.726692 -4.6308 -115.827263
1.26 0.51509 0.711436 0.362867 0.0 0.0 0.0 0.496264 0.956792 0.334234 95.601547 -4.573738 -114.511604
1.28 0.514067 0.714419 0.367466 0.0 0.0 0.0 0.49579 0.959848 0.339108 95.473915 -4.51061 -113.227615
1.3 0.513039 0.717273 0.37209 0.0 0.0 0.0 0.495317 0.962777 0.34403 95.344231 -4.44162 -111.97657
1.32 0.51201 0.719999 0.376733 0.0 0.0 0.0 0.494847 0.965579 0.348993 95.212868 -4.366972 -110.759697
1.34 0.510984 0.722595 0.381385 0.0 0.0 0.0 0.494385 0.968252 0.353988 95.0802 -4.286868 -109.578178
1.36 0.509968 0.725061 0.38604 0.0 0.0 0.0 0.493932 0.970796 0.359007 94.946533 -4.2015 -108.433136
